Activities data district energy produced localy : per type and per year
t_periods,Outputs,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Output_units,VFlow_Out
2016,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1316.3438608351205
2016,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1580.054882138632
2016,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,145.15061528138023
2016,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1315.5387568824804
2016,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.080887328212091
2016,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,302.1325140436877
2016,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6459.587306140916
2016,District Heating,Toronto Average,District Heating,Substation,___,TJ,6788.439025620798
2016,District Heating,Production,District Heating,Boiler,Large,TJ,7703.994221419045
2017,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1288.5272038132566
2017,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1554.020198204774
2017,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,138.30547273266222
2017,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1290.9602976735803
2017,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.160486533721242
2017,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,280.7388267329423
2017,District Heating,Toronto Average,District Heating,Pipe,___,TJ,5879.883912547571
2017,District Heating,Toronto Average,District Heating,Substation,___,TJ,6179.223459088278
2017,District Heating,Production,District Heating,Boiler,Large,TJ,7050.27049394068
2018,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1328.5848792162758
2018,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1601.1533447033555
2018,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,140.31236702789633
2018,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1333.9011327860892
2018,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.374073054577117
2018,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,312.72542417027705
2018,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6630.596773101912
2018,District Heating,Toronto Average,District Heating,Substation,___,TJ,6968.1544291484915
2018,District Heating,Production,District Heating,Boiler,Large,TJ,7901.402747917749
2019,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1328.0658390926571
2019,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1602.8111738415034
2019,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,141.25220917318322
2019,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1332.315995946823
