"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17205.13755970362
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1719.2936331756225
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,958.3535962687442
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2153.7370424508763
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1311.6585797698385
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9594.970013268327
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2815.581046168695
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9043.197315908765
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.10944082281363
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,42.29970109668677
2016,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1257.6094481745556
2016,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9367.60330554152
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,433.731787948381
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,0.7869271867057728
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,1.2648060976359345
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,1.2647257026157648
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,150.3128950112532
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,3.0095584907823563
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29678.317183781972
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,776.5660376769519
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,540.3492109284592
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,888.4919831413252
2016,Commercial,Space Heating,___,___,District Heating,___,TJ,3345.9165035728283
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1454.918112312101
2016,Commercial,Water Heating,___,___,District Heating,___,TJ,548.0142784840551
2016,Commercial,Water Heating,___,___,Electricity,Standard,TJ,203.1663732552942
2016,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,2.4722541292224762
2016,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,2.4723252970423304
2016,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,183.5410174358202
2016,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4846.159987075826
2016,Commercial,Water Heating,___,___,Propane,Standard,TJ,66.57689779305133
2016,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30527.81262921074
2016,Industry,Lighting,Self produced,,Mix Energy,,TJ,649.5279282791195
2016,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1407.310511271426
2016,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1558.8670279400849
2016,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4079.0353896652414
2016,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2015.4389415843314
2016,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,248.87960070585405
2016,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,508.1394071172971
2016,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.00874054975368
2016,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,629.1580884774934
2016,Public,Lighting,Halogen,___,Electricity,Standard,Mlm.y,184.62653663700442
2016,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,592.9839368020045
2016,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.7641521150128923
2016,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,2.7657132921606817
2016,Public,Space Cooling,___,___,District Cooling,___,TJ,244.80239824875278
2016,Public,Space Cooling,___,___,Electricity,Standard,TJ,4165.038374918046
2016,Public,Space Cooling,___,___,Natural Gas,Standard,TJ,541.8598939411969
2016,Public,Space Heating,Furnace,___,Electricity,Standard,TJ,290.0714309138195
2016,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,267.87078750026666
2016,Public,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5798.0255784702995
2016,Public,Space Heating,Plinthe,___,Electricity,Standard,TJ,493.34134976589456
2016,Public,Space Heating,___,___,District Heating,___,TJ,1487.1754059524915
2016,Public,Water Heating,___,___,District Heating,___,TJ,336.25739693666446
2016,Public,Water Heating,___,___,Electricity,Standard,TJ,0.5622491454799803
2016,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.4622327869457951
2016,Public,Water Heating,___,___,Kerosene,Standard,TJ,0.4622361589179811
2016,Public,Water Heating,___,___,Light Fuel Oil,Standard,TJ,0.8630749501872232
2016,Public,Water Heating,___,___,Natural Gas,Standard,TJ,854.303131917421
2016,Residential,Other Appliances,Other,___,Electricity,Standard,TJ,3602.173435153556
2016,Residential,Clothe Dryer,___,___,Electricity,Standard,TJ,1796.1095036844756
2016,Residential,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.11453373497123
2016,Residential,Clothe Washer,___,___,Electricity,Standard,TJ,93.31189304590369
2016,Residential,Dish Washer,___,___,Electricity,Standard,TJ,125.65134630290495
2016,Residential,Freezer,___,___,Electricity,Standard,TJ,339.7069067253861
2016,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56670399802435
2016,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8673704708024
2016,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.9026052584172
2016,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.626340806498
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.4725008009799643
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.4665563341104413
2016,Residential,Range,___,___,Electricity,Standard,TJ,1389.598640833531
2016,Residential,Range,___,___,Natural Gas,Standard,TJ,96.03530320132349
2016,Residential,Refrigerator,___,___,Electricity,Standard,TJ,1067.9895107560596
2016,Residential,Space Cooling,Central,___,Electricity,Standard,TJ,10210.878468687943
2016,Residential,Space Cooling,Room,___,Electricity,Standard,TJ,612.8037823967679
2016,Residential,Space Cooling,___,___,District Cooling,___,TJ,81.61875084968239
2016,Residential,Space Heating,Furnace,___,Biomass,Standard,TJ,149.7412198681838
2016,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.1836200606314531
2016,Residential,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.16454219159062256
2016,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,581.0542000074963
2016,Residential,Space Heating,Furnace,___,Natural Gas,High,TJ,38570.57130584106
2016,Residential,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12389.79992066543
2016,Residential,Space Heating,Furnace,___,Propane,Standard,TJ,0.18462141550480007
2016,Residential,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3919.990003166414
2016,Residential,Space Heating,Plinthe,___,Electricity,Standard,TJ,1975.8399655454714
2016,Residential,Space Heating,___,___,District Heating,___,TJ,78.42512987500702
2016,Residential,Water Heating,___,___,Biomass,Standard,TJ,4.808181642464963
2016,Residential,Water Heating,___,___,Wood Pellet,Standard,TJ,5.0040969273174944
2016,Residential,Water Heating,___,___,District Heating,___,TJ,952.5303214013668
2016,Residential,Water Heating,___,___,Electricity,Standard,TJ,767.5498413845374
2016,Residential,Water Heating,___,___,Kerosene,Standard,TJ,4.741154591844656
2016,Residential,Water Heating,___,___,Light Fuel Oil,Standard,TJ,91.46785898987592
2016,Residential,Water Heating,___,___,Natural Gas,Standard,TJ,15642.381603109383
2016,Residential,Water Heating,___,___,Propane,Standard,TJ,4.934188033358805
2017,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17311.0393222522
2017,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1731.0086918435168
2017,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,964.2445836199105
2017,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2166.9316962292437
2017,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1316.892067417319
2017,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9665.65763845957
2017,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2828.5315885891146
2017,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9082.69997128716
2017,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,41.75947022058723
2017,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,54.81779482390614
2017,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1289.9444233880267
2017,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9399.52114772024
2017,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,436.78506797512074
2017,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,1.4213428794545575
2017,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,2.3526393166474113
2017,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,2.3527652014520397
2017,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,160.77491885185026
2017,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,5.757396734127768
2017,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,30062.326936149577
2017,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,651.6529293729294
2017,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,454.91571759090425
2017,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,1440.9426607679402
2017,Commercial,Space Heating,___,___,District Heating,___,TJ,2819.72162627707
2017,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1463.7223425002253
2017,Commercial,Water Heating,___,___,District Heating,___,TJ,452.1578289331142
2017,Commercial,Water Heating,___,___,Electricity,Standard,TJ,246.6588712273564
2017,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,4.8291118334783825
2017,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,4.829277155443758
2017,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,187.37950124581045
2017,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4924.171827671167
2017,Commercial,Water Heating,___,___,Propane,Standard,TJ,69.25420717761372
2017,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30563.234632277505
2017,Industry,Lighting,Self produced,,Mix Energy,,TJ,650.2815879189868
2017,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1408.943440491139
2017,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1560.6758110715834
2017,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4083.768372199059
2017,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2026.0825360310773
2017,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,250.34914044833437
2017,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,511.1520526913652
2017,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.04752524498251
2017,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,633.4411112775325
2017,Public,Lighting,Halogen,___,Electricity,Standard,Mlm.y,185.58738460080042
2017,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,595.5008388081897
2017,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.764152115012894
2017,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.5185083189095208
2017,Public,Space Cooling,___,___,District Cooling,___,TJ,247.2137765565056
2017,Public,Space Cooling,___,___,Electricity,Standard,TJ,4183.187534341057
2017,Public,Space Cooling,___,___,Natural Gas,Standard,TJ,551.0032749925386
2017,Public,Space Heating,Furnace,___,Electricity,Standard,TJ,289.9054476287018
2017,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,268.8316623064299
