"Thousands of vehicle per subsector, per efficiency, per fuel, per end use, and per vintage"
vintage,Sub,Mode,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Capacity_units,Capacities
1970,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1970,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1970,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1975,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1975,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1975,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1980,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1980,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1980,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1985,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1985,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1985,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1990,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1990,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1990,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1990,Passenger,Rail,Subway,___,___,Electricity,kunits,0.061127901339772896
1990,Passenger,Rail,Tramway,___,___,Electricity,kunits,0.009286136659465484
1995,Freight Transportation,Air,___,___,___,Aviation Gasoline,kunits,0.0002673094838585204
1995,Freight Transportation,Air,___,___,___,Aviation Turbo Fuel,kunits,0.02508465049590692
1995,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
1995,Long Distance,Air,___,___,___,Aviation Gasoline,kunits,0.002778279203669691
1995,Long Distance,Air,___,___,___,Aviation Turbo Fuel,kunits,0.2701697868524786
1995,Long Distance,Rail,___,___,___,Diesel,kunits,0.004655880031893511
1995,Passenger,Rail,Regional,___,___,Diesel,kunits,0.004632526332874767
1995,Passenger,Rail,Subway,___,___,Electricity,kunits,0.061127901339772896
1995,Passenger,Rail,Tramway,___,___,Electricity,kunits,0.009286136659465484
2000,Freight Transportation,Air,___,___,___,Aviation Gasoline,kunits,0.0002673094838585204
2000,Freight Transportation,Air,___,___,___,Aviation Turbo Fuel,kunits,0.02508465049590692
2000,Freight Transportation,Rail,___,___,___,Diesel,kunits,0.00019613463036247808
2000,Freight Transportation,Road,Truck,Heavy Trucks,Conventionnal,Diesel,kunits,0.6004547025933678
2000,Freight Transportation,Road,Truck,Passenger Light Trucks,Conventionnal,Diesel,kunits,13.595447709191046
2000,Freight Transportation,Road,Truck,Passenger Light Trucks,Conventionnal,Gasoline,kunits,37.411971430241664
2000,Freight Transportation,Road,Truck,Passenger Light Trucks,Conventionnal,Propane,kunits,2.418038902238962
2000,Freight Transportation,Road,Truck,Medium Trucks,Conventionnal,Diesel,kunits,7.190180363842807
