regions,periods,tech,group_name,min_share_g,tech_desc
TO,2023,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000122,
TO,2023,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0055404,
TO,2023,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0011684,
TO,2023,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000029,
TO,2023,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0038365,
TO,2023,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0079025,
TO,2023,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000069,
TO,2023,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000015,
TO,2023,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000205,
TO,2023,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000047,
TO,2023,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0060814,
TO,2023,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000201,
TO,2023,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000586,
TO,2023,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0008176,
TO,2023,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0042454,
TO,2023,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.4688619,
TO,2023,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0662947,
TO,2023,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.3761794,
TO,2023,COMBDGELCIMP23,BAP-ENE-2-COMBDG,0.4940349,
TO,2023,INDBDGELCIMP23,BAP-ENE-2-INDBDG,0.2356704,
TO,2023,PASTRAELCIMP23,BAP-ENE-2-PASTRA,0.0273827,
TO,2023,PUBBDGELCIMP23,BAP-ENE-2-PUBBDG,0.3674907,
TO,2023,RESBDGELCIMP23,BAP-ENE-2-RESBDG,0.2079676,
TO,2023,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0176960,
TO,2023,PASTRAETHIMP,BAP-ENE-2-PASTRA,0.0000922,
TO,2023,PUBTRAETHIMP,BAP-ENE-2-PUBTRA,0.0185647,
TO,2023,COMBDGETHOSIMP,BAP-ENE-2-COMBDG,0.0000411,
TO,2023,RESBDGETHOSIMP,BAP-ENE-2-RESBDG,0.0000020,
TO,2023,FRETRAFTDSLIMP,BAP-ENE-2-FRETRA,0.0001331,
TO,2023,PUBTRAFTDSLIMP,BAP-ENE-2-PUBTRA,0.0021622,
TO,2023,FRETRAGASIMP,BAP-ENE-2-FRETRA,0.4231547,
TO,2023,PASTRAGASIMP,BAP-ENE-2-PASTRA,0.8422810,
TO,2023,PUBTRAGASIMP,BAP-ENE-2-PUBTRA,0.4534397,
TO,2023,COMBDGHFOIMP,BAP-ENE-2-COMBDG,0.0002240,
TO,2023,INDBDGHFOIMP,BAP-ENE-2-INDBDG,0.0055659,
TO,2023,PUBBDGHFOIMP,BAP-ENE-2-PUBBDG,0.0000590,
TO,2023,RESBDGHH2IMP,BAP-ENE-2-RESBDG,0.0000080,
TO,2023,COMBDGKERIMP,BAP-ENE-2-COMBDG,0.0002259,
TO,2023,PUBBDGKERIMP,BAP-ENE-2-PUBBDG,0.0000590,
TO,2023,RESBDGKERIMP,BAP-ENE-2-RESBDG,0.0007356,
TO,2023,COMBDGLFOIMP,BAP-ENE-2-COMBDG,0.0014977,
TO,2023,INDBDGLFOIMP,BAP-ENE-2-INDBDG,0.0237059,
TO,2023,PUBBDGLFOIMP,BAP-ENE-2-PUBBDG,0.0206246,
TO,2023,RESBDGLFOIMP,BAP-ENE-2-RESBDG,0.0032384,
TO,2023,COMBDGNGAIMP,BAP-ENE-2-COMBDG,0.4271888,
TO,2023,INDBDGNGAIMP,BAP-ENE-2-INDBDG,0.6617552,
TO,2023,PASTRANGAIMP,BAP-ENE-2-PASTRA,0.0086645,
TO,2023,PUBBDGNGAIMP,BAP-ENE-2-PUBBDG,0.5612262,
TO,2023,RESBDGNGAIMP,BAP-ENE-2-RESBDG,0.7178957,
TO,2023,INDBDGPCOKIMP,BAP-ENE-2-INDBDG,0.0102562,
TO,2023,COMBDGPROIMP,BAP-ENE-2-COMBDG,0.0265434,
TO,2023,FRETRAPROIMP,BAP-ENE-2-FRETRA,0.0275339,
TO,2023,INDBDGPROIMP,BAP-ENE-2-INDBDG,0.0051133,
TO,2023,PASTRAPROIMP,BAP-ENE-2-PASTRA,0.0051856,
TO,2023,PUBBDGPROIMP,BAP-ENE-2-PUBBDG,0.0000031,
TO,2023,RESBDGPROIMP,BAP-ENE-2-RESBDG,0.0060947,
TO,2023,FRETRARDSLIMP,BAP-ENE-2-FRETRA,0.0000034,
TO,2023,PASTRARDSLIMP,BAP-ENE-2-PASTRA,0.0000129,
TO,2023,COMBDGSGAIMP,BAP-ENE-2-COMBDG,0.0002374,
TO,2023,PASTRASGAIMP,BAP-ENE-2-PASTRA,0.0000116,
TO,2023,PUBBDGSGAIMP,BAP-ENE-2-PUBBDG,0.0005169,
TO,2023,RESBDGSGAIMP,BAP-ENE-2-RESBDG,0.0000694,
TO,2023,PASTRASMTNIMP,BAP-ENE-2-PASTRA,0.0000116,
TO,2024,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000116,
TO,2024,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0052488,
TO,2024,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0011069,
TO,2024,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000028,
TO,2024,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0036346,
TO,2024,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0074866,
TO,2024,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000065,
TO,2024,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000014,
TO,2024,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000194,
TO,2024,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000045,
TO,2024,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0057613,
TO,2024,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000191,
TO,2024,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000555,
TO,2024,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0007745,
TO,2024,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0040220,
TO,2024,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.4441850,
TO,2024,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0628055,
TO,2024,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.3563805,
TO,2024,COMBDGELCIMP24,BAP-ENE-2-COMBDG,0.4680330,
TO,2024,INDBDGELCIMP24,BAP-ENE-2-INDBDG,0.2232667,
TO,2024,PASTRAELCIMP24,BAP-ENE-2-PASTRA,0.0259415,
TO,2024,PUBBDGELCIMP24,BAP-ENE-2-PUBBDG,0.3481491,
TO,2024,RESBDGELCIMP24,BAP-ENE-2-RESBDG,0.1970219,
TO,2024,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0167646,
TO,2024,PASTRAETHIMP,BAP-ENE-2-PASTRA,0.0000874,
TO,2024,PUBTRAETHIMP,BAP-ENE-2-PUBTRA,0.0175876,
TO,2024,COMBDGETHOSIMP,BAP-ENE-2-COMBDG,0.0000390,
TO,2024,RESBDGETHOSIMP,BAP-ENE-2-RESBDG,0.0000019,
TO,2024,FRETRAFTDSLIMP,BAP-ENE-2-FRETRA,0.0001261,
TO,2024,PUBTRAFTDSLIMP,BAP-ENE-2-PUBTRA,0.0020484,
TO,2024,FRETRAGASIMP,BAP-ENE-2-FRETRA,0.4008834,
TO,2024,PASTRAGASIMP,BAP-ENE-2-PASTRA,0.7979505,
TO,2024,PUBTRAGASIMP,BAP-ENE-2-PUBTRA,0.4295745,
TO,2024,COMBDGHFOIMP,BAP-ENE-2-COMBDG,0.0002122,
TO,2024,INDBDGHFOIMP,BAP-ENE-2-INDBDG,0.0052730,
TO,2024,PUBBDGHFOIMP,BAP-ENE-2-PUBBDG,0.0000559,
TO,2024,RESBDGHH2IMP,BAP-ENE-2-RESBDG,0.0000076,
TO,2024,COMBDGKERIMP,BAP-ENE-2-COMBDG,0.0002140,
TO,2024,PUBBDGKERIMP,BAP-ENE-2-PUBBDG,0.0000559,
TO,2024,RESBDGKERIMP,BAP-ENE-2-RESBDG,0.0006969,
TO,2024,COMBDGLFOIMP,BAP-ENE-2-COMBDG,0.0014188,
TO,2024,INDBDGLFOIMP,BAP-ENE-2-INDBDG,0.0224582,
TO,2024,PUBBDGLFOIMP,BAP-ENE-2-PUBBDG,0.0195391,
TO,2024,RESBDGLFOIMP,BAP-ENE-2-RESBDG,0.0030680,
TO,2024,COMBDGNGAIMP,BAP-ENE-2-COMBDG,0.4047051,
TO,2024,INDBDGNGAIMP,BAP-ENE-2-INDBDG,0.6269260,
TO,2024,PASTRANGAIMP,BAP-ENE-2-PASTRA,0.0082085,
TO,2024,PUBBDGNGAIMP,BAP-ENE-2-PUBBDG,0.5316880,
TO,2024,RESBDGNGAIMP,BAP-ENE-2-RESBDG,0.6801117,
TO,2024,INDBDGPCOKIMP,BAP-ENE-2-INDBDG,0.0097164,
TO,2024,COMBDGPROIMP,BAP-ENE-2-COMBDG,0.0251464,
TO,2024,FRETRAPROIMP,BAP-ENE-2-FRETRA,0.0260848,
TO,2024,INDBDGPROIMP,BAP-ENE-2-INDBDG,0.0048442,
TO,2024,PASTRAPROIMP,BAP-ENE-2-PASTRA,0.0049127,
TO,2024,PUBBDGPROIMP,BAP-ENE-2-PUBBDG,0.0000029,
TO,2024,RESBDGPROIMP,BAP-ENE-2-RESBDG,0.0057739,
TO,2024,FRETRARDSLIMP,BAP-ENE-2-FRETRA,0.0000032,
TO,2024,PASTRARDSLIMP,BAP-ENE-2-PASTRA,0.0000122,
TO,2024,COMBDGSGAIMP,BAP-ENE-2-COMBDG,0.0002249,
TO,2024,PASTRASGAIMP,BAP-ENE-2-PASTRA,0.0000110,
TO,2024,PUBBDGSGAIMP,BAP-ENE-2-PUBBDG,0.0004897,
TO,2024,RESBDGSGAIMP,BAP-ENE-2-RESBDG,0.0000657,
TO,2024,PASTRASMTNIMP,BAP-ENE-2-PASTRA,0.0000110,
TO,2025,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000109,
TO,2025,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0049572,
TO,2025,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0010454,
TO,2025,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000026,
TO,2025,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0034327,
TO,2025,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0070707,
TO,2025,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000062,
TO,2025,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000014,
TO,2025,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000184,
TO,2025,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000042,
TO,2025,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0054412,
TO,2025,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000180,
TO,2025,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000525,
TO,2025,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0007315,
TO,2025,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0037986,
TO,2025,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.4195080,
TO,2025,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0593163,
TO,2025,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.3365815,
TO,2025,COMBDGELCIMP25,BAP-ENE-2-COMBDG,0.4420312,
TO,2025,INDBDGELCIMP25,BAP-ENE-2-INDBDG,0.2108630,
TO,2025,PASTRAELCIMP25,BAP-ENE-2-PASTRA,0.0245003,
TO,2025,PUBBDGELCIMP25,BAP-ENE-2-PUBBDG,0.3288075,
TO,2025,RESBDGELCIMP25,BAP-ENE-2-RESBDG,0.1860763,
TO,2025,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0158332,
TO,2025,PASTRAETHIMP,BAP-ENE-2-PASTRA,0.0000825,
TO,2025,PUBTRAETHIMP,BAP-ENE-2-PUBTRA,0.0166105,
TO,2025,COMBDGETHOSIMP,BAP-ENE-2-COMBDG,0.0000368,
TO,2025,RESBDGETHOSIMP,BAP-ENE-2-RESBDG,0.0000018,
TO,2025,FRETRAFTDSLIMP,BAP-ENE-2-FRETRA,0.0001191,
TO,2025,PUBTRAFTDSLIMP,BAP-ENE-2-PUBTRA,0.0019346,
TO,2025,FRETRAGASIMP,BAP-ENE-2-FRETRA,0.3786121,
TO,2025,PASTRAGASIMP,BAP-ENE-2-PASTRA,0.7536199,
TO,2025,PUBTRAGASIMP,BAP-ENE-2-PUBTRA,0.4057092,
TO,2025,COMBDGHFOIMP,BAP-ENE-2-COMBDG,0.0002004,
TO,2025,INDBDGHFOIMP,BAP-ENE-2-INDBDG,0.0049801,
TO,2025,PUBBDGHFOIMP,BAP-ENE-2-PUBBDG,0.0000528,
TO,2025,RESBDGHH2IMP,BAP-ENE-2-RESBDG,0.0000071,
TO,2025,COMBDGKERIMP,BAP-ENE-2-COMBDG,0.0002021,
TO,2025,PUBBDGKERIMP,BAP-ENE-2-PUBBDG,0.0000528,
TO,2025,RESBDGKERIMP,BAP-ENE-2-RESBDG,0.0006582,
TO,2025,COMBDGLFOIMP,BAP-ENE-2-COMBDG,0.0013400,
TO,2025,INDBDGLFOIMP,BAP-ENE-2-INDBDG,0.0212106,
TO,2025,PUBBDGLFOIMP,BAP-ENE-2-PUBBDG,0.0184535,
TO,2025,RESBDGLFOIMP,BAP-ENE-2-RESBDG,0.0028975,
TO,2025,COMBDGNGAIMP,BAP-ENE-2-COMBDG,0.3822215,
TO,2025,INDBDGNGAIMP,BAP-ENE-2-INDBDG,0.5920968,
TO,2025,PASTRANGAIMP,BAP-ENE-2-PASTRA,0.0077524,
TO,2025,PUBBDGNGAIMP,BAP-ENE-2-PUBBDG,0.5021498,
TO,2025,RESBDGNGAIMP,BAP-ENE-2-RESBDG,0.6423277,
TO,2025,INDBDGPCOKIMP,BAP-ENE-2-INDBDG,0.0091766,
TO,2025,COMBDGPROIMP,BAP-ENE-2-COMBDG,0.0237494,
TO,2025,FRETRAPROIMP,BAP-ENE-2-FRETRA,0.0246356,
TO,2025,INDBDGPROIMP,BAP-ENE-2-INDBDG,0.0045750,
TO,2025,PASTRAPROIMP,BAP-ENE-2-PASTRA,0.0046398,
TO,2025,PUBBDGPROIMP,BAP-ENE-2-PUBBDG,0.0000028,
TO,2025,RESBDGPROIMP,BAP-ENE-2-RESBDG,0.0054531,
TO,2025,FRETRARDSLIMP,BAP-ENE-2-FRETRA,0.0000030,
TO,2025,PASTRARDSLIMP,BAP-ENE-2-PASTRA,0.0000115,
TO,2025,COMBDGSGAIMP,BAP-ENE-2-COMBDG,0.0002124,
TO,2025,PASTRASGAIMP,BAP-ENE-2-PASTRA,0.0000104,
TO,2025,PUBBDGSGAIMP,BAP-ENE-2-PUBBDG,0.0004625,
TO,2025,RESBDGSGAIMP,BAP-ENE-2-RESBDG,0.0000621,
TO,2025,PASTRASMTNIMP,BAP-ENE-2-PASTRA,0.0000104,
TO,2026,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000103,
TO,2026,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0046656,
TO,2026,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0009839,
TO,2026,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000025,
TO,2026,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0032308,
TO,2026,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0066547,
TO,2026,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000058,
TO,2026,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000013,
TO,2026,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000173,
TO,2026,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000040,
TO,2026,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0051212,
TO,2026,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000169,
TO,2026,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000494,
TO,2026,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0006885,
TO,2026,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0035751,
TO,2026,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.3948311,
TO,2026,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0558271,
TO,2026,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.3167826,
TO,2026,COMBDGELCIMP26,BAP-ENE-2-COMBDG,0.4160294,
TO,2026,INDBDGELCIMP26,BAP-ENE-2-INDBDG,0.1984593,
TO,2026,PASTRAELCIMP26,BAP-ENE-2-PASTRA,0.0230591,
TO,2026,PUBBDGELCIMP26,BAP-ENE-2-PUBBDG,0.3094658,
TO,2026,RESBDGELCIMP26,BAP-ENE-2-RESBDG,0.1751306,
TO,2026,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0149019,
TO,2026,PASTRAETHIMP,BAP-ENE-2-PASTRA,0.0000777,
TO,2026,PUBTRAETHIMP,BAP-ENE-2-PUBTRA,0.0156334,
TO,2026,COMBDGETHOSIMP,BAP-ENE-2-COMBDG,0.0000346,
TO,2026,RESBDGETHOSIMP,BAP-ENE-2-RESBDG,0.0000017,
TO,2026,FRETRAFTDSLIMP,BAP-ENE-2-FRETRA,0.0001121,
TO,2026,PUBTRAFTDSLIMP,BAP-ENE-2-PUBTRA,0.0018208,
TO,2026,FRETRAGASIMP,BAP-ENE-2-FRETRA,0.3563408,
TO,2026,PASTRAGASIMP,BAP-ENE-2-PASTRA,0.7092893,
TO,2026,PUBTRAGASIMP,BAP-ENE-2-PUBTRA,0.3818440,
TO,2026,COMBDGHFOIMP,BAP-ENE-2-COMBDG,0.0001886,
TO,2026,INDBDGHFOIMP,BAP-ENE-2-INDBDG,0.0046871,
TO,2026,PUBBDGHFOIMP,BAP-ENE-2-PUBBDG,0.0000497,
TO,2026,RESBDGHH2IMP,BAP-ENE-2-RESBDG,0.0000067,
TO,2026,COMBDGKERIMP,BAP-ENE-2-COMBDG,0.0001902,
TO,2026,PUBBDGKERIMP,BAP-ENE-2-PUBBDG,0.0000497,
TO,2026,RESBDGKERIMP,BAP-ENE-2-RESBDG,0.0006194,
TO,2026,COMBDGLFOIMP,BAP-ENE-2-COMBDG,0.0012612,
TO,2026,INDBDGLFOIMP,BAP-ENE-2-INDBDG,0.0199629,
TO,2026,PUBBDGLFOIMP,BAP-ENE-2-PUBBDG,0.0173680,
TO,2026,RESBDGLFOIMP,BAP-ENE-2-RESBDG,0.0027271,
TO,2026,COMBDGNGAIMP,BAP-ENE-2-COMBDG,0.3597379,
TO,2026,INDBDGNGAIMP,BAP-ENE-2-INDBDG,0.5572676,
TO,2026,PASTRANGAIMP,BAP-ENE-2-PASTRA,0.0072964,
TO,2026,PUBBDGNGAIMP,BAP-ENE-2-PUBBDG,0.4726115,
TO,2026,RESBDGNGAIMP,BAP-ENE-2-RESBDG,0.6045437,
TO,2026,INDBDGPCOKIMP,BAP-ENE-2-INDBDG,0.0086368,
TO,2026,COMBDGPROIMP,BAP-ENE-2-COMBDG,0.0223524,
TO,2026,FRETRAPROIMP,BAP-ENE-2-FRETRA,0.0231865,
TO,2026,INDBDGPROIMP,BAP-ENE-2-INDBDG,0.0043059,
TO,2026,PASTRAPROIMP,BAP-ENE-2-PASTRA,0.0043668,
TO,2026,PUBBDGPROIMP,BAP-ENE-2-PUBBDG,0.0000026,
TO,2026,RESBDGPROIMP,BAP-ENE-2-RESBDG,0.0051324,
TO,2026,FRETRARDSLIMP,BAP-ENE-2-FRETRA,0.0000028,
TO,2026,PASTRARDSLIMP,BAP-ENE-2-PASTRA,0.0000108,
TO,2026,COMBDGSGAIMP,BAP-ENE-2-COMBDG,0.0001999,
TO,2026,PASTRASGAIMP,BAP-ENE-2-PASTRA,0.0000098,
TO,2026,PUBBDGSGAIMP,BAP-ENE-2-PUBBDG,0.0004353,
TO,2026,RESBDGSGAIMP,BAP-ENE-2-RESBDG,0.0000584,
TO,2026,PASTRASMTNIMP,BAP-ENE-2-PASTRA,0.0000098,
TO,2027,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000096,
TO,2027,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0043740,
TO,2027,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0009224,
TO,2027,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000023,
TO,2027,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0030288,
TO,2027,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0062388,
TO,2027,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000054,
TO,2027,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000012,
TO,2027,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000162,
TO,2027,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000037,
TO,2027,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0048011,
TO,2027,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000159,
TO,2027,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000463,
TO,2027,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0006455,
TO,2027,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0033517,
TO,2027,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.3701541,
TO,2027,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0523379,
TO,2027,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.2969837,
TO,2027,COMBDGELCIMP27,BAP-ENE-2-COMBDG,0.3900275,
TO,2027,INDBDGELCIMP27,BAP-ENE-2-INDBDG,0.1860555,
TO,2027,PASTRAELCIMP27,BAP-ENE-2-PASTRA,0.0216179,
TO,2027,PUBBDGELCIMP27,BAP-ENE-2-PUBBDG,0.2901242,
TO,2027,RESBDGELCIMP27,BAP-ENE-2-RESBDG,0.1641849,
TO,2027,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0139705,
TO,2027,PASTRAETHIMP,BAP-ENE-2-PASTRA,0.0000728,
TO,2027,PUBTRAETHIMP,BAP-ENE-2-PUBTRA,0.0146563,
TO,2027,COMBDGETHOSIMP,BAP-ENE-2-COMBDG,0.0000325,
TO,2027,RESBDGETHOSIMP,BAP-ENE-2-RESBDG,0.0000016,
TO,2027,FRETRAFTDSLIMP,BAP-ENE-2-FRETRA,0.0001051,
TO,2027,PUBTRAFTDSLIMP,BAP-ENE-2-PUBTRA,0.0017070,
TO,2027,FRETRAGASIMP,BAP-ENE-2-FRETRA,0.3340695,
TO,2027,PASTRAGASIMP,BAP-ENE-2-PASTRA,0.6649587,
TO,2027,PUBTRAGASIMP,BAP-ENE-2-PUBTRA,0.3579787,
TO,2027,COMBDGHFOIMP,BAP-ENE-2-COMBDG,0.0001768,
TO,2027,INDBDGHFOIMP,BAP-ENE-2-INDBDG,0.0043942,
TO,2027,PUBBDGHFOIMP,BAP-ENE-2-PUBBDG,0.0000466,
TO,2027,RESBDGHH2IMP,BAP-ENE-2-RESBDG,0.0000063,
TO,2027,COMBDGKERIMP,BAP-ENE-2-COMBDG,0.0001783,
TO,2027,PUBBDGKERIMP,BAP-ENE-2-PUBBDG,0.0000466,
TO,2027,RESBDGKERIMP,BAP-ENE-2-RESBDG,0.0005807,
TO,2027,COMBDGLFOIMP,BAP-ENE-2-COMBDG,0.0011824,
TO,2027,INDBDGLFOIMP,BAP-ENE-2-INDBDG,0.0187152,
TO,2027,PUBBDGLFOIMP,BAP-ENE-2-PUBBDG,0.0162825,
TO,2027,RESBDGLFOIMP,BAP-ENE-2-RESBDG,0.0025567,
TO,2027,COMBDGNGAIMP,BAP-ENE-2-COMBDG,0.3372543,
TO,2027,INDBDGNGAIMP,BAP-ENE-2-INDBDG,0.5224383,
TO,2027,PASTRANGAIMP,BAP-ENE-2-PASTRA,0.0068404,
TO,2027,PUBBDGNGAIMP,BAP-ENE-2-PUBBDG,0.4430733,
TO,2027,RESBDGNGAIMP,BAP-ENE-2-RESBDG,0.5667598,
TO,2027,INDBDGPCOKIMP,BAP-ENE-2-INDBDG,0.0080970,
TO,2027,COMBDGPROIMP,BAP-ENE-2-COMBDG,0.0209554,
TO,2027,FRETRAPROIMP,BAP-ENE-2-FRETRA,0.0217373,
TO,2027,INDBDGPROIMP,BAP-ENE-2-INDBDG,0.0040368,
TO,2027,PASTRAPROIMP,BAP-ENE-2-PASTRA,0.0040939,
TO,2027,PUBBDGPROIMP,BAP-ENE-2-PUBBDG,0.0000024,
TO,2027,RESBDGPROIMP,BAP-ENE-2-RESBDG,0.0048116,
TO,2027,FRETRARDSLIMP,BAP-ENE-2-FRETRA,0.0000027,
TO,2027,PASTRARDSLIMP,BAP-ENE-2-PASTRA,0.0000102,
TO,2027,COMBDGSGAIMP,BAP-ENE-2-COMBDG,0.0001874,
TO,2027,PASTRASGAIMP,BAP-ENE-2-PASTRA,0.0000092,
TO,2027,PUBBDGSGAIMP,BAP-ENE-2-PUBBDG,0.0004081,
TO,2027,RESBDGSGAIMP,BAP-ENE-2-RESBDG,0.0000548,
TO,2027,PASTRASMTNIMP,BAP-ENE-2-PASTRA,0.0000092,
TO,2028,FRETRAAGAIMP,BAP-ENE-2-FRETRA,0.0000090,
TO,2028,FRETRAATFIMP,BAP-ENE-2-FRETRA,0.0040824,
TO,2028,FRETRABDSLIMP,BAP-ENE-2-FRETRA,0.0008609,
TO,2028,PASTRABDSLIMP,BAP-ENE-2-PASTRA,0.0000022,
TO,2028,PUBTRABDSLIMP,BAP-ENE-2-PUBTRA,0.0028269,
TO,2028,RESBDGBMAIMP,BAP-ENE-2-RESBDG,0.0058229,
TO,2028,COMBDGBMTNIMP,BAP-ENE-2-COMBDG,0.0000051,
TO,2028,PASTRABMTNIMP,BAP-ENE-2-PASTRA,0.0000011,
TO,2028,PUBBDGBMTNIMP,BAP-ENE-2-PUBBDG,0.0000151,
TO,2028,RESBDGBMTNIMP,BAP-ENE-2-RESBDG,0.0000035,
TO,2028,RESBDGBWPIMP,BAP-ENE-2-RESBDG,0.0044810,
TO,2028,FRETRACETHIMP,BAP-ENE-2-FRETRA,0.0000148,
TO,2028,PASTRACETHIMP,BAP-ENE-2-PASTRA,0.0000432,
TO,2028,PUBTRACETHIMP,BAP-ENE-2-PUBTRA,0.0006024,
TO,2028,INDBDGCOAIMP,BAP-ENE-2-INDBDG,0.0031282,
TO,2028,FRETRADSLIMP,BAP-ENE-2-FRETRA,0.3454772,
TO,2028,PASTRADSLIMP,BAP-ENE-2-PASTRA,0.0488487,
TO,2028,PUBTRADSLIMP,BAP-ENE-2-PUBTRA,0.2771848,
TO,2028,COMBDGELCIMP28,BAP-ENE-2-COMBDG,0.3640257,
TO,2028,INDBDGELCIMP28,BAP-ENE-2-INDBDG,0.1736518,
TO,2028,PASTRAELCIMP28,BAP-ENE-2-PASTRA,0.0201767,
TO,2028,PUBBDGELCIMP28,BAP-ENE-2-PUBBDG,0.2707826,
TO,2028,RESBDGELCIMP28,BAP-ENE-2-RESBDG,0.1532393,
TO,2028,FRETRAETHIMP,BAP-ENE-2-FRETRA,0.0130391,
