regions,tech,c2a,c2a_notes
TO,LDITRABELCSTACOM120V,31.536,Long DistanceTransportBattery electricityCharging StationCommercial120V2035
TO,LDITRABELCSTACOM240V,31.536,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,31.536,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,31.536,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,31.536,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM120V,31.536,PassengerTransportBattery electricityCharging StationCommercial120V2035
TO,PASTRABELCSTACOM240V,31.536,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,31.536,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,31.536,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,31.536,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM120V,31.536,PublicTransportBattery electricityCharging StationCommercial120V2035
TO,PUBTRABELCSTACOM240V,31.536,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,31.536,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,31.536,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,31.536,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,31.536,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,31.536,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM120V,31.536,FreightTransportBattery electricityCharging StationCommercial120V2035
TO,FRETRABELCSTACOM240V,31.536,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,31.536,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,31.536,PublicTransportBattery electricity freightCharging StationFreightSlow2023
