"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17204.615800240972
2016,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1719.5274183766371
2016,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,958.6415704607085
2016,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2153.7370424508754
2016,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1311.666993223738
2016,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9594.981768526666
2016,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2815.5763530460276
2016,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9043.169237003067
2016,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.11735015457197
2016,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,42.30439502884426
2016,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1257.678906934671
2016,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9367.337925646432
2016,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,433.9277090680712
2016,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,0.7440784533823455
2016,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,1.3535958471363034
2016,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,1.353547558494519
2016,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,151.00942875997717
2016,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,3.0761814759854818
2016,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29678.93584867985
2016,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,777.1245268535505
2016,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,541.0238507201157
2016,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,885.3080963201741
2016,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,3346.3506768134025
2016,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1454.9181123121002
2016,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,548.3673297189342
2016,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,201.17748237262364
2016,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,2.6117270732810636
2016,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,2.611788292173474
2016,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,184.1325059505088
2016,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4846.5640575127945
2016,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,66.93824249425046
2016,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30527.812629149517
2016,Industry,,Lighting,Self produced,,Mix Energy,,TJ,649.5279282791195
2016,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1407.3105112714263
2016,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1558.8670278906427
2016,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4079.0353896143683
2016,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2015.4236760731278
2016,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,248.89486616833727
2016,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,508.13940711729686
2016,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.0087461296156
2016,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,629.1580965402354
2016,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,184.62652754748578
2016,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,592.9839229365642
2016,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.764152115012892
2016,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,2.7657225695923087
2016,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,243.71915082836614
2016,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4165.679555167475
2016,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,542.3019611001275
2016,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,290.06237504902555
2016,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,267.872796074416
2016,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5798.032575482621
2016,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,493.3344221243822
2016,Public,Old,Space Heating,___,___,District Heating,___,TJ,1487.1823838298044
2016,Public,Old,Water Heating,___,___,District Heating,___,TJ,336.8663860438931
2016,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,0.29085164020133875
2016,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.24582022530144923
2016,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.24581944041949866
2016,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,0.3759265330299636
2016,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,854.885517972612
2016,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3602.173435075033
2016,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1796.1072715797854
2016,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.11676583966141
2016,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,93.31189304590374
2016,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,125.65134630290497
2016,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,339.7069067253864
2016,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56714451257672
2016,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8677972073849
2016,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.90204099869035
2016,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.6251026732385
2016,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.4727422449325176
